Data,Team1,Team2,Team1Score,Team2Score
2/16/24,Australia,Netherlands,8,10
2/14/24,Australia,Canada ,10,8
2/12/24,Australia,USA,9,10
2/8/24,Australia,Hungary,9,13
7/27/23,Australia,Italy,14,16
7/26/23,Australia,Spain,10,12
7/24/23,Australia,Greece,9,8
7/19/23,Australia,China,11,7
7/18/23,Australia,USA,5,9
7/15/23,Australia,France,10,8
2/16/24,Canada,Italy,12,18
2/14/24,Canada,Australia,8,10
2/12/24,Canada,Spain,9,12
2/8/24,Canada,Italy,8,12
7/23/23,Canada,Greece,14,12
7/26/23,Canada,USA,4,16
7/24/23,Canada,Netherlands,10,17
7/16/23,Canada,Hungary,10,11
6/26/23,Canada,Netherlands,7,10
6/24/23,Canada,Hungary,7,11
2/10/24,China,Netherlands,14,16
2/8/24,China,Greece,9,22
2/6/24,China,France,11,10
2/4/24,China,Spain,5,18
7/19/23,China,Australia,7,11
7/18/23,China,France,11,12
7/15/23,China,USA,6,15
4/21/23,China,Australia,7,12
4/20/23,China,Spain,11,17
4/19/23,China,Greece,11,13
4/13/23,China,Spain,7,15
4/12/23,China,USA,5,12
4/11/23,China,Italy,13,14
2/16/24,Hungary,USA,7,8
2/14/24,Hungary,Greece,13,11
2/12/24,Hungary,Netherlands,13,12
2/8/24,Hungary,Australia,13,9
1/13/24,Hungary,France,14,3
1/9/24,Hungary,Italy,11,12
1/6/24,Hungary,Netherlands,11,14
1/5/24,Hungary,Greece,12,14
7/28/23,Hungary,USA,13,15
7/26/23,Hungary,Greece,10,9
7/24/23,Hungary,Spain,9,12
2/16/2024,Netherlands,Australia,10,8
2/14/24,Netherlands,Italy,10,5
2/12/24,Netherlands,Hungary,12,13
2/10/24,Netherlands,China,16,14
2/4/24,Netherlands,USA,8,10
1/13/24,Netherlands,Spain,8,7
1/11/24,Netherlands,Italy,7,6
1/7/24,Netherlands,Greece,15,10
1/6/24,Netherlands,Hungary,14,11
7/28/23,Netherlands,Spain,17,16
7/26/23,Netherlands,Italy,9,8
7/24/23,Netherlands,Canada ,17,10
2/8/24,France,Spain,7,14
2/6/24,France,China,10,11
2/4/24,France,Greece,6,11
1/13/24,France,Hungary,3,14
1/9/24,France,Greece,7,15
1/6/24,France,Italy,6,12
1/5/24,France,Spain,8,17
7/22/23,France,Spain,9,16
7/20/23,France,USA,5,16
7/18/23,France,China,12,11
7/15/23,France,Australia,8,10
2/16/24,Greece,Spain,9,10
2/14/24,Greece,Hungary,11,13
2/12/24,Greece,Italy,14,12
2/8/24,Greece,China,22,9
2/6/24,Greece,Spain,8,16
2/4/24,Greece,France,11,6
1/13/24,Greece,Italy,7,6
1/11/24,Greece,Spain,5,13
1/9/24,Greece,France,15,7
1/7/24,Greece,Netherlands,10,15
1/5/24,Greece,Hungary,14,12
7/27/23,Greece,Canada ,12,14
7/26/23,Greece,Hungary,9,10
7/24/23,Greece,Australia,8,9
7/27/23,Greece,Italy,16,12
2/16/24,Italy,Canada ,18,12
2/14/24,Italy,Netherlands,10,5
2/12/24,Italy,Greece,12,14
2/8/24,Italy,Canada ,12,8
1/13/24,Italy,Greece,6,7
1/11/24,Italy,Netherlands,6,7
1/9/2024,Italy,Hungary,12,11
1/7/24,Italy,Spain,14,8
1/6/24,Italy,France,12,6
7/27/23,Italy,Australia,16,14
7/26/23,Italy,Netherlands,8,9
7/24/23,Italy,USA,8,7
7/19/23,Italy,Greece,12,16
2/16/24,Spain,Greece,10,9
2/14/24,Spain,USA,9,11
2/12/24,Spain,Canada ,12,9
2/8/24,Spain,France,14,7
2/6/24,Spain,Greece,16,8
2/4/24,Spain,China,18,5
1/13/24,Spain,Netherlands,7,8
1/11/24,Spain,Greece,13,5
1/7/24,Spain,Italy,14,8
1/5/24,Spain,France,17,8
7/28/23,Spain,Netherlands,16,17
7/26/23,Spain,Australia,12,10
7/24/23,Spain,Hungary,12,9
7/22/23,Spain,France,16,9
2/16/24,USA,Hungary,8,7
2/14/24,USA,Spain,11,9
2/12/24,USA,Australia,10,9
4/2/24,USA,Netherlands,10,8
7/28/23,USA,Hungary,15,13
7/26/23,USA,Canada ,16,4
7/24/23,USA,Italy,7,8
7/20/23,USA,France,16,5
7/18/23,USA,Australia,9,5
7/15/23,USA,China,15,6
6/25/23,USA,Netherlands,12,11
6/24/23,USA,Hungary,16,10